Entity,Code,Year,Homicide
Denmark,DNK,1990,0.79749206252
Denmark,DNK,1991,1.3191317165
Denmark,DNK,1992,1.1988427687
Denmark,DNK,1993,1.3678190703
Denmark,DNK,1994,1.4391708534
Denmark,DNK,1995,1.1275230478
Denmark,DNK,1996,1.2940409225
Denmark,DNK,1997,1.6673888861
Denmark,DNK,1998,0.9244620197
Denmark,DNK,1999,0.97711833147
Denmark,DNK,2000,1.0858999265
Denmark,DNK,2001,0.97050069811
Denmark,DNK,2002,0.89338925454
Denmark,DNK,2003,1.2066156695
Denmark,DNK,2004,0.7958903922
Denmark,DNK,2005,0.97755298568
Denmark,DNK,2006,0.53266787809
Denmark,DNK,2007,0.71299031796
Denmark,DNK,2008,0.98222339361
Denmark,DNK,2009,0.85046492384
Denmark,DNK,2010,0.75609616031
Denmark,DNK,2011,0.82393273843
Denmark,DNK,2012,0.83765393451
Denmark,DNK,2013,0.8513427804
Denmark,DNK,2014,1.306451274
Denmark,DNK,2015,1.0898808954
Denmark,DNK,2016,0.9805044205
Denmark,DNK,2017,1.2386002979
Denmark,DNK,2018,1.0083219593
Australia,AUS,1990,2.2051106683
Australia,AUS,1991,1.9779821499
Australia,AUS,1992,1.7296684513
Australia,AUS,1993,1.8917003267
Australia,AUS,1994,1.7979016914
Australia,AUS,1995,1.978538086
Australia,AUS,1996,1.946201921
Australia,AUS,1997,1.9796374707
Australia,AUS,1998,1.7969522506
Australia,AUS,1999,2.0491599322
Australia,AUS,2000,1.9061225182
Australia,AUS,2001,1.8077929526
Australia,AUS,2002,1.8864651077
Australia,AUS,2003,1.5389191376
Australia,AUS,2004,1.3229606511
Australia,AUS,2005,1.2835416313
Australia,AUS,2006,1.368975412
Australia,AUS,2007,1.2191426043
Australia,AUS,2008,1.2234971646
Australia,AUS,2009,1.2091480371
Australia,AUS,2010,1.042668759
Australia,AUS,2011,1.1003637323
Australia,AUS,2012,1.0609523222
Australia,AUS,2013,1.0535408605
Australia,AUS,2014,1.0298169731
Australia,AUS,2015,0.9861067998
Australia,AUS,2016,0.93559210822
Australia,AUS,2017,0.82571952813
Australia,AUS,2018,0.89163240342
Brazil,BRA,1990,19.664802084
Brazil,BRA,1991,18.56171633
Brazil,BRA,1992,16.833232314
Brazil,BRA,1993,17.859684115
Brazil,BRA,1994,18.723517036
Brazil,BRA,1995,20.985133858
Brazil,BRA,1996,21.670465207
Brazil,BRA,1997,22.219411665
Brazil,BRA,1998,22.641672719
Brazil,BRA,1999,22.842567918
Brazil,BRA,2000,23.797080111
Brazil,BRA,2001,24.816980761
Brazil,BRA,2002,25.390251222
Brazil,BRA,2003,25.756453968
Brazil,BRA,2004,24.11823962
Brazil,BRA,2005,23.448801615
Brazil,BRA,2006,23.960670588
Brazil,BRA,2007,23.470728215
Brazil,BRA,2008,23.894658908
Brazil,BRA,2009,22.960855373
Brazil,BRA,2010,22.109854307
Brazil,BRA,2011,24.34453674
Brazil,BRA,2012,26.621868092
Brazil,BRA,2013,26.941953612
Brazil,BRA,2014,28.849832246
Brazil,BRA,2015,28.59025632
Brazil,BRA,2016,29.877807011
Brazil,BRA,2017,30.831362508
Brazil,BRA,2018,27.382530291
Canada,CAN,1990,2.3855063172
Canada,CAN,1991,2.7035930142
Canada,CAN,1992,2.5970427726
Canada,CAN,1993,2.1928008596
Canada,CAN,1994,2.0650895435
Canada,CAN,1995,2.0127448927
Canada,CAN,1996,2.1522298663
Canada,CAN,1997,1.9702526812
Canada,CAN,1998,1.8619630527
Canada,CAN,1999,1.7787304821
Canada,CAN,2000,1.784991614
Canada,CAN,2001,1.7940372678
Canada,CAN,2002,1.8666853121
Canada,CAN,2003,1.7435187944
